UTC,dateTime,Anapra_o3,Teledyne_o3
"2019-05-01 00:00:00",1556668800,10.8723404255319,49.485655953951
"2019-05-01 00:05:00",1556669100,10.8333333333333,49.4687781863742
"2019-05-01 00:10:00",1556669400,10.8297872340426,48.8844455112921
"2019-05-01 00:15:00",1556669700,10.1914893617021,52.2654856222647
"2019-05-01 00:20:00",1556670000,10.5208333333333,51.4837941416988
"2019-05-01 00:25:00",1556670300,10.5957446808511,49.8717813311883
"2019-05-01 00:30:00",1556670600,9.80851063829787,49.3599095167937
"2019-05-01 00:35:00",1556670900,10.2127659574468,49.8513063805126
"2019-05-01 00:40:00",1556671200,9.64583333333333,49.6928775928639
"2019-05-01 00:45:00",1556671500,10.1071428571429,48.0753194862437
"2019-05-01 00:50:00",1556671800,10.0208333333333,48.8439754593038
"2019-05-01 00:55:00",1556672100,10.1063829787234,47.7068103507713
"2019-05-01 01:00:00",1556672400,8.78723404255319,45.2086875350387
"2019-05-01 01:05:00",1556672700,9.14893617021277,44.2753227021959
"2019-05-01 01:10:00",1556673000,9.36170212765957,47.3919320151071
"2019-05-01 01:15:00",1556673300,9.72916666666667,46.3655004055701
"2019-05-01 01:20:00",1556673600,9.48936170212766,47.4496840361123
"2019-05-01 01:25:00",1556673900,9.14285714285714,44.7373226557937
"2019-05-01 01:30:00",1556674200,9.37931034482759,44.067794694813
"2019-05-01 01:35:00",1556674500,8.91489361702128,46.0693731931882
"2019-05-01 01:40:00",1556674800,8.39583333333333,43.62177350786
"2019-05-01 01:45:00",1556675100,8.5531914893617,43.4121098217663
"2019-05-01 01:50:00",1556675400,8.53191489361702,45.0726163972099
"2019-05-01 01:55:00",1556675700,9.04255319148936,42.1935221820796
"2019-05-01 02:00:00",1556676000,9.27083333333333,30.3461669781886
"2019-05-01 02:05:00",1556676300,9.23404255319149,35.5441868505745
"2019-05-01 02:10:00",1556676600,9.46808510638298,32.5126387793739
"2019-05-01 02:15:00",1556676900,9.54166666666667,30.9254088095569
"2019-05-01 02:20:00",1556677200,9.61702127659574,31.4264206752599
"2019-05-01 02:25:00",1556677500,9.65957446808511,35.6056145641291
"2019-05-01 02:30:00",1556677800,9.52083333333333,38.2746443347396
"2019-05-01 02:35:00",1556678100,9.38297872340426,35.6256029764811
"2019-05-01 02:40:00",1556678400,9.36170212765957,36.3952014671182
"2019-05-01 02:45:00",1556678700,9.27659574468085,39.3958306399259
"2019-05-01 02:50:00",1556679000,9.21276595744681,35.8893976211548
"2019-05-01 02:55:00",1556679300,9.04255319148936,34.0362574026125
"2019-05-01 03:00:00",1556679600,9.14583333333333,37.8000701119967
"2019-05-01 03:05:00",1556679900,9.21276595744681,38.1514286465115
"2019-05-01 03:10:00",1556680200,8.8936170212766,37.7320105876398
"2019-05-01 03:15:00",1556680500,8.73333333333333,39.3886300173673
"2019-05-01 03:20:00",1556680800,8.82978723404255,42.3971002013595
"2019-05-01 03:25:00",1556681100,8.45833333333333,43.2722214239615
"2019-05-01 03:30:00",1556681400,8.23913043478261,42.3982344026919
"2019-05-01 03:35:00",1556681700,8.27586206896552,41.1105884586999
"2019-05-01 03:40:00",1556682000,8.57446808510638,40.1940613842885
"2019-05-01 03:45:00",1556682300,8.45833333333333,39.4970016832705
"2019-05-01 03:50:00",1556682600,8.68085106382979,38.1971885186655
"2019-05-01 03:55:00",1556682900,8.48936170212766,36.8492541803378
"2019-05-01 04:00:00",1556683200,8.40425531914894,35.4153313813386
"2019-05-01 04:05:00",1556683500,8.25531914893617,33.246011963597
"2019-05-01 04:10:00",1556683800,8.3125,29.1179614557284
"2019-05-01 04:15:00",1556684100,8,33.471975843483
"2019-05-01 04:20:00",1556684400,8.35416666666667,33.9155023362901
"2019-05-01 04:25:00",1556684700,8.08510638297872,33.9913949878938
"2019-05-01 04:30:00",1556685000,8.36170212765957,34.4213681490916
"2019-05-01 04:35:00",1556685300,8.52083333333333,34.6093808986523
"2019-05-01 04:40:00",1556685600,8.19148936170213,32.9524205644554
"2019-05-01 04:45:00",1556685900,7.78723404255319,29.5755197717509
"2019-05-01 04:50:00",1556686200,7.70833333333333,28.9290758828136
"2019-05-01 04:55:00",1556686500,8.08510638297872,26.2010866147335
"2019-05-01 05:00:00",1556686800,7.72340425531915,23.3243767243845
"2019-05-01 05:05:00",1556687100,7.52083333333333,21.7040795220269
"2019-05-01 05:10:00",1556687400,7.42553191489362,17.1170044480083
"2019-05-01 05:15:00",1556687700,7.48936170212766,17.5706467628479
"2019-05-01 05:20:00",1556688000,7.4375,22.4885464950844
"2019-05-01 05:25:00",1556688300,7.46808510638298,27.1944754035385
"2019-05-01 05:30:00",1556688600,7.51063829787234,30.5665676328871
"2019-05-01 05:35:00",1556688900,7.25,30.9449436534535
"2019-05-01 05:40:00",1556689200,7.08510638297872,31.9255344242726
"2019-05-01 05:45:00",1556689500,6.97872340425532,34.5216931590328
"2019-05-01 05:50:00",1556689800,7,35.9215618098548
"2019-05-01 05:55:00",1556690100,7.04255319148936,37.0444522472697
"2019-05-01 06:00:00",1556690400,7.02083333333333,36.3779026346469
"2019-05-01 06:05:00",1556690700,6.95744680851064,35.2054510027449
"2019-05-01 06:10:00",1556691000,6.8936170212766,35.256222265738
"2019-05-01 06:15:00",1556691300,6.90476190476191,33.6436188374091
"2019-05-01 06:20:00",1556691600,7,31.1102375850499
"2019-05-01 06:25:00",1556691900,7,31.4955590863094
"2019-05-01 06:30:00",1556692200,6.83333333333333,31.632515146098
"2019-05-01 06:35:00",1556692500,6.97872340425532,31.2658726166342
